name,strain,date,host,serotype,country
QBM69670,A/China/38888/2012,2012-08-29,Human,H3N2,China
AIY59238,A/duck/Shandong/TA01/2012,2012-12-27,Avian,H9N2,China
ADK78207,A/rosy-billed pochard/Argentina/CIP051-925/2008,2008-02-,Avian,H6N2,Argentina
QFQ20405,A/Sydney/536/2017,2017-08-18,Human,H3N2,Australia
ACB32201,A/Guangzhou/483/2006,2006--,Human,H1N1,China
ADI24515,A/Singapore/GP3441/2009,2009-08-31,Human,H1N1,Singapore
AGE00381,A/American green-winged teal/Wisconsin/10OS3093/2010,2010-10-03,Avian,"mixed,H3",USA
AMA11887,A/swine/Iowa/A01796353/2015,2015-11-12,Swine,H1N2,USA
QAR20851,A/swine/Missouri/A02428123/2018,2018-12-20,Swine,H3N2,USA
AAP23238,A/Memphis/31/98,1998--,Human,H3N2,USA
BAE48688,A/swan/Hokkaido/67/1996,1996--,Avian,H5N3,Japan
AAO86946,A/chicken/NY/1398-6/99,1999--,Avian,H7N2,USA
ADR00678,A/mallard/Interior Alaska/7MP0167/2007,2007-08-13,Avian,H12N5,USA
AFC35438,A/little yellow-shouldered bat/Guatemala/060/2010,2010-09-,Bat,H17N10,Guatemala
AFM46852,A/swine/Iowa/A01202797/2011,2011-11-03,Swine,H1N2,USA
AJI76207,A/swine/Hunan/196/2011,2011-11-15,Swine,H1N1,China
AJS17097,A/chicken/Anhui/A3086/2014,2014-11-11,Avian,H9,China
AJS17475,A/chicken/Jiangsu/J3842/2014,2014-11-06,Avian,H9,China
BAT21741,A/Gunma/69-2/2012,2012-12-08,Human,H3N2,Japan
AZS61925,A/swine/Wielen/21300/2015,2015-02-12,Swine,H3N2,Germany
BAB39511,A/parakeet/Chiba/1/97,1997--,Avian,H9N2,Japan
ADE06875,A/aquatic bird/Korea/w206/2007,2007-11-,Avian,H5N2,South Korea
ADN92778,A/Taiwan/2823/2008,2008-09-19,Human,H1N1,Taiwan
ADV69106,A/swine/Minnesota/2221-1/2010,2010-04-09,Swine,H1N2,USA
AEK85470,A/Taiwan/65093/2011,2011-01-,Human,H1N1,Taiwan
AEO91866,A/swine/Minnesota/001444/2007,2007-01-19,Swine,H3N2,USA
AFD98395,A/Boston/DOA61/2011,2011-02-24,Human,H3N2,USA
AFJ13413,A/laughing gull/Delaware Bay/10/1990,1990-04-18,Avian,H2N1,USA
AFR75854,A/swine/Korea/1204/2009,2009-02-,Swine,H1N2,South Korea
AGE03448,A/mallard/Iowa/10OS2721/2010,2010-10-16,Avian,H2N2,USA
AGF68951,A/swine/Iowa/A01432370/2013,2013-01-,Swine,H1N2,USA
AHJ57932,A/duck/Guangdong/S1419/2011,2011-03-09,Avian,H6N6,China
AHZ43241,A/northern shoveler/Illinois/12OS5294/2012,2012-11-10,Avian,H10N3,USA
AIE52366,A/Bangkok/SIMI508/2010,2010-03-23,Human,H1N1,Thailand
AII31452,A/duck/Guangdong/C3204/2010,2010-09-20,Avian,H9N2,China
ALE32074,A/New York/4687/2015,2015-01-30,Human,H3N2,USA
BAU36358,A/Fukuoka/DS-14/2013,2013-12-18,Human,H3N2,Japan
ALZ43346,A/swine/Manitoba/D0184/2012,2012-12-19,Swine,H3N2,Canada
ATV89491,A/South Australia/108/2016,2016-09-09,Human,H3N2,Australia
AAA79775,A/chicken/Germany/N/1949,1949--,Avian,H10N7,Germany
BAF03631,A/duck/Hong Kong/938/80,1980--,Avian,H10N1,Hong Kong
ABP49327,A/AA/Huston/1945,1945--,Human,H1N1,USA
ACA33719,A/Texas/71/2007,2007-12-02,Human,H3N2,USA
ACA47791,A/chicken/Shantou/3744/2003,2003--,Avian,H5N1,China
ACH95480,A/chicken/Shandong/mp1224/2007,2007-12-24,Avian,H9N2,China
ACR58706,A/common eider/Netherlands/1/2006,2006--,Avian,H3N8,Netherlands
ACS92895,A/swine/North Carolina/R08-001877-D08-013371/2008 ,2008--,Swine,H3N2,USA
ACV90743,A/mallard/Louisiana/476670-4/2007,2007--,Avian,H5N2,USA
ADC30118,A/chicken/Guangdong/A10/2007,2007-12-11,Avian,H9N2,China
ADE75203,A/mallard/Sweden/50/2002,2002-11-14,Avian,H3N8,Sweden
ADG21164,A/Bahrain/N11890/2009,2009-10-,Human,H1N1,Bahrain
ADG44834,A/duck/Shantou/728/2001,2001--,Avian,H6N2,China
BAJ23228,A/chicken/New Jersey/15086-3/1994,1994--,Avian,H7N3,USA
BAJ39967,A/Sendai/TU402/2009,2009-09-15,Human,H1N1,Japan
ADY71590,A/swine/Hong Kong/715/2008,2008-05-29,Swine,H1N2,Hong Kong
AEG64773,A/blue-winged teal/Texas/Sg-00173/2007,2007-09-16,Avian,H4N8,USA
AEH59173,A/chicken/Kulon Progo/BBVW-667-605/2007,2007-09-22,Avian,H5N1,Indonesia
AEM76561,A/mallard/Mississippi/329/2010,2010-01-16,Avian,H10N7,USA
AEZ54162,A/swine/Illinois/A01049575/2011,2011-02-16,Swine,H1N1,USA
AFD32608,A/swine/Nebraska/A01104010/2011,2011-12-05,Swine,H3N2,USA
AFJ12882,A/mallard/Stralsund/41-6/1981,1981--,Avian,H2N1,Germany
AFJ78375,A/Malaysia/15042/1998,1998-01-27,Human,H1N1,Malaysia
AFU10214,A/swine/Minnesota/A01240667/2011,2011-10-13,Swine,H1N2,USA
AFW17389,A/chicken/Menofia/CAI30/2010,2010-03-01,Avian,H5N1,Egypt
AGI53179,A/Maryland/04/2010,2010-02-08,Human,H1N1,USA
AGT18720,A/Kenya/261/2013,2013-02-11,Human,H1N1,Kenya
AHL58744,A/swine/Iowa/13G060/2013,2013-07-19,Swine,H3N2,USA
AIE50626,A/swine/Hong Kong/4083/2011,2011-10-20,Swine,H1N2,Hong Kong
AIQ77797,A/swine/North Carolina/A01476086/2014,2014-07-09,Swine,H1N1,USA
AIU46128,A/swine/North Carolina/A01476339/2014,2014-09-03,Swine,H1N2,USA
AIU46851,A/Florida/21/2014,2014-03-23,Human,H3,USA
AKC45165,A/swine/Missouri/00564/2005,2005-03-30,Swine,H1N1,USA
ALT20032,A/swine/North Carolina/A01795838/2015,2015-11-05,Swine,H1N2,USA
AMQ29562,A/mallard/Maryland/07OS1563/2007,2007-08-29,Avian,H11N9,USA
AQS26788,A/swine/South Dakota/A01672346/2016,2016-01-05,Swine,H1N2,USA
ASB16583,A/Michigan/57/2017,2017-04-17,Human,H3N2,USA
ATY73666,A/mallard duck/Ohio/16OS4983/2016,2016-11-12,Avian,H3N2,USA
QHI34375,A/India/Pun-1923690/2019,2019-08-31,Human,H3N2,India
QVY47800,A/swine/Kansas/2015-21/2015,2015-12-19,Swine,H3N2,USA
UBU03114,A/canine/Guangdong/GY01/2018,2018-05-,Canine,H3N2,China
CAA44434,A/equine/Switzerland/137/72,1972--,Equine,H7N7,Switzerland
AAK62042,A/Hong Kong/1180/1999,1999--,Human,H3N2,Hong Kong
CAC81746,A/pheasant/Hong Kong/SH39/99,1999--,Avian,H6N1,Hong Kong
ABB88149,A/pigeon/Nanchang/9-058/2000,2000-09-07,Avian,H3N3,China
ABI92863,A/Western Australia/58/2004,2004-10-01,Human,H3N2,Australia
ABY81492,A/equine/Miami/1/1963,1963--,Equine,H3N8,USA
ACF36313,A/Hong Kong/CUHK24825/2001,2001-07-22,Human,H3N2,Hong Kong
ACI32728,A/Baden-Wuerttemberg/3/2006,2006--,Human,H1N1,Germany
ADG85249,A/swine/NC/19646/2010,2010-04-20,Swine,H1N1,USA
ADK26548,A/Thailand/CU-MV10/2010,2010-01-11,Human,H1N1,Thailand
ADP07036,A/teal/Oregon/44336-130/2007,2007-08-16,Avian,H3N8,USA
ADQ53447,A/duck/Guangxi/038/2009,2009-02-,Avian,H6N6,China
ADT79140,A/swine/Italy/1850/1977,1977--,Swine,H3N2,Italy
AEB71262,A/chicken/Shandong/02/2009,2009-09-,Avian,H9N2,China
AEM63496,A/Pune/NIV21259/2009,2009-12-24,Human,H1N1,India
AEN94886,A/swine/North Carolina/18161/2002,2002--,Swine,H1N1,USA
AET11800,A/mallard/Sanjiang/390/2007,2007-10-,Avian,H1N1,China
AET76448,A/pintail/Alberta/275/1996,1996-08-26,Avian,H4N6,Canada
AFK10245,A/chicken/India/81766/2008,2008-01-19,Avian,H5N1,India
AFM08858,A/ostrich/South Africa/AI2887/2011,2011-09-16,Avian,H1N2,South Africa
AFN19497,A/Singapore/GP5/2011,2011-01-04,Human,H3N2,Singapore
AFN66856,A/swine/Oklahoma/A01203507/2012,2012-04-10,Swine,H1N2,USA
AFO82998,A/swine/Iowa/A01203566/2012,2012-05-30,Swine,H1N2,USA
AFR76471,A/swine/England/88761/1997,1997-02-03,Swine,H1N2,United Kingdom
AFX83983,A/knot/Delaware Bay/526/1988,1988-05-15,Avian,H6N8,USA
AGG27346,A/mallard/Alberta/2/1995,1995-08-03,Avian,H10N7,Canada
AGL60932,A/mallard/New Jersey/AI09-5121/2009,2009-09-29,Avian,H3N8,USA
AGQ80977,A/duck/Jiangxi/23008/2009,2009--,Avian,H7N7,China
AGR54778,A/chicken/Henan/HB/1998,1998-03-,Avian,H9N2,China
AGU01953,A/ruddy shelduck/Mongolia/1602/2010,2010-09-11,Avian,H10N8,Mongolia
AGV28823,A/Texas/10/2013,2013-03-03,Human,H1N1,USA
AGV29182,A/Mississippi/03/2013,2013-05-20,Human,H1N1,USA
AHB51256,A/swine/Missouri/SG1182/2003,2003-10-09,Swine,H1N1,USA
AHC59185,A/Peru/PER100/2012,2012-05-11,Human,H3N2,Peru
AHH00900,A/chicken/New Jersey/251-4/2008,2008-02-01,Avian,H5N2,USA
AHJ57432,A/Tehran/55774/2013,2013-04-08,Human,H1N1,Iran
AHN04464,A/mallard/Saskatchewan/1/1982,1982--,Avian,H3N8,Canada
AHZ59272,A/chicken/Shanghai/C/2011,2011-06-,Avian,H9N2,China
AIA61891,A/chicken/Guangdong/H07/2013,2013-07-,Avian,H9N2,China
AIE10029,A/Texas/06/2014,2014-01-05,Human,H3N2,USA
AIL95874,A/swine/Taiwan/NPUST0002/2013,2013-11-01,Swine,H1N1,Taiwan
AIT16527,A/Quebec/26-151105/2005,2005-11-15,Human,H3N2,Canada
AIU46140,A/swine/Kansas/A01477353/2014,2014-08-18,Swine,H3N2,USA
AIW60690,A/Auckland/5/1996,1996--,Human,H3N2,New Zealand
AIZ07323,A/swine/Nebraska/A01476672/2014,2014-10-10,Swine,H1N2,USA
AJA04049,A/chicken/Anhui/A350/2012,2012-11-06,Avian,H9,China
AJE62944,A/Thailand/CU-B10952/2014,2014-10-02,Human,H3N2,Thailand
AJJ92155,A/chicken/Shenzhen/881/2013,2013-12-09,Avian,H9N2,China
AJP13930,A/chicken/Gaoyou/1004/2010,2010-04-10,Avian,H5N1,China
AJS18066,A/goose/Guangdong/G3192/2014,2014-11-19,Avian,H6,China
AKH14387,A/canine/Korea/DG1/2014,2014-02-13,Canine,H3N2,South Korea
AKJ82994,A/swine/Hungary/4025/2013,2013-02-25,Swine,H3N2,Hungary
ALJ33416,A/cape shoveler/South Africa/STR0982/2013,2013-02-01,Avian,H4N8,South Africa
ALJ54251,A/swine/Kentucky/14TOSU23911/2014,2014--,Swine,H3N2,USA
ALR83224,A/swine/North Carolina/A01857750/2015,2015-10-13,Swine,H3N2,USA
ALX29829,A/swine/Italy/134414/2014,2014--,Swine,H3N2,Italy
ANN01703,A/New Mexico/29/2016,2016-03-20,Human,H3N2,USA
AOT91138,A/Utah/36/2016,2016-04-23,Human,H3N2,USA
APD70262,A/blue-winged teal/Lousiana/UGAI14-0462/2014,2014-04-04,Avian,H3N2,USA
AQY17637,A/duck/Bangladesh/26918/2015,2015-12-09,Avian,H3N6,Bangladesh
ARD27279,A/swine/Iowa/A01932041/2016,2016-10-31,Swine,H1N1,USA
ASW34278,A/Thailand/CU-B21690/2017,2017-04-06,Human,H3N2,Thailand
ASZ79351,A/Delaware/32/2016,2016-11-15,Human,H3N2,USA
ATQ38888,A/duck/Fujian/SD063/2017,2017-03-,Avian,H3N3,China
ATV85960,A/Perth/39/2015,2015-05-12,Human,H3N2,Australia
AWH63700,A/Oklahoma/6576/2018,2018-01-04,Human,H3N2,USA
AZS60157,A/swine/Herzlake/IDT5335/2006,2006-06-20,Swine,H3N2,Germany
QFG34257,A/Alberta/061/2018,2018-04-06,Human,H3N2,Canada
QTW97003,A/duck/Vietnam/HN4911/2018,2018-08-29,Avian,H3N2,Viet Nam
QUX80169,A/swine/North Carolina/A02525368/2021,2021-04-13,Swine,H3N2,USA
UQK90283,A/Spot-billed duck(Anas poecilohyncha)/South Korea/KNU2021-51/2021,2021-08-03,Avian,H8N4,South Korea
UUB77415,A/Colorado/12759/2022,2022-02-23,Human,H3N2,USA
WHU98581,A/environment/Japan/KU-J6/2020,2020-11-23,Environment,H3N6,Japan
BAA00718,A/swine/Cambridge/1939,1939--,Swine,H1N1,United Kingdom
CAA82950,A/swine/Germany/2/1981,1981--,Swine,H1N1,Germany
AAC54380,A/turkey/England/1963,1963--,Avian,H7N3,United Kingdom
CAC81013,A/Berlin/6/88,1988--,Human,H3N2,Germany
CAC84243,A/goose/Hong Kong/17/77 ,1977--,Avian,H6N4,Hong Kong
ABB19947,A/mallard duck/ALB/98/1985,1985-08-13,Avian,H6N2,Canada
ABC59903,A/sharp-tailed sandpiper/Australia/6/2004,2004--,Avian,H11N9,Australia
ABD79112,A/Cameron/1946,1946--,Human,H1N1,Australia
ABF60576,A/equine/France/1/1976,1976--,Equine,H3N8,France
BAF31846,A/duck/Hokkaido/18/00,2000--,Avian,H10N4,Japan
ABO44156,A/turkey/Italy/251/2003,2003--,Avian,H7N3,Italy
ABO76924,A/environment/Delaware/235/2005,2005--,Environment,H11N6,USA
ABP49272,A/green-winged teal/Ohio/496/1987,1987--,Avian,H11N9,USA
ABU50566,A/Florida/09/2006,2006-12-14,Human,H1N1,USA
ABV60698,A/swine/IDT/Re230/1992hp,1992--,Swine,H1N1,Germany
ABY40437,A/swine/Missouri/4296424/2006,2006--,Swine,H2N3,USA
ACD56335,A/turkey/Italy/9739/2002,2002--,Avian,H7N3,Italy
ACF22430,A/duck/Tasmania/277/2007,2007--,Avian,H7N2,Australia
BAG66269,A/duck/Mongolia/720/2007,2007--,Avian,H7N6,Mongolia
ACG80436,A/Cheongju/H471/2008,2008-02-28,Human,H3N2,South Korea
ACI41130,A/chicken/Thailand/Kamphaengphet/NIAH6-3-0006/2005,2005--,Avian,H5N1,Thailand
ACJ24913,A/chicken/Iran/53-3/2008,2008--,Avian,H5N1,Iran
ACM17295,A/mallard/Bavaria/1/2007,2007-09-15,Avian,H5N2,Germany
ACO07033,A/chicken/Vietnam/NCVD-016/2008,2008--,Avian,H5N1,Viet Nam
ACR49551,A/chicken/Laos/LPQ001/2008,2008--,Avian,H5N1,Laos
ACR56249,A/duck/Egypt/0845S-NLQP/2008,2008-01-03,Avian,H5N1,Egypt
ACS92958,A/swine/Minnesota/SG239/2007,2007-02-23,Swine,H1N2,USA
ACU44375,A/Illinois/06/2009,2009-03-12,Human,H1N1,USA
ACV90673,A/mallard/Nevada/449567-3/2006,2006--,Avian,H5N2,USA
ACZ48581,A/chicken/Florida/27716-2/1986,1986--,Avian,H5N2,USA
ADG44794,A/duck/Shantou/1211/2002,2002--,Avian,H6N2,China
ADJ38088,A/swine/Iowa/03032/2010,2010-06-04,Swine,H1N1,USA
ADK99118,A/California/VRDL313/2009,2009-05-01,Human,H3N2,USA
ADO29895,A/Qingdao/1610/2009,2009-11-,Human,H1N1,China
ADU16938,A/American wigeon/Interior Alaska/7MP1726/2007,2007-09-03,Avian,H3N8,USA
ADV58876,A/quail/QC/FAV-10/2008,2008-05-09,Avian,H3N2,Canada
ADY70986,A/swine/Hong Kong/8709/2001,2001-03-27,Swine,H1N1,Hong Kong
ADY71223,A/swine/Hong Kong/1304/2003,2003-09-28,Swine,H1N2,Hong Kong
AEA76366,A/chicken/Guangdong/Q6/2010,2010-04-,Avian,H9N2,China
AEC23338,A/swine/Iowa/A01049077/2010,2010-11-17,Swine,H1N1,USA
AEF59347,A/duck/Eastern China/29/2004,2004-11-,Avian,H6N2,China
AEK59838,A/Niigata/F95/2007,2007-02-26,Human,H1N1,Japan
AEM01051,A/blue-winged teal/Guatemala/CIP049-08/2010,2010-01-31,Avian,H5N3,Guatemala
AEM92417,A/Mexico/47N/2009,2009-04-25,Human,H1N1,Mexico
AEQ72822,A/chicken/Egypt/10432S/2010,2010-07-13,Avian,H5N1,Egypt
AEX63424,A/Eastern India/N-1289/2009,2009-08-24,Human,H1N2,India
AEZ02294,A/swine/Illinois/A01201606/2011,2011-06-01,Swine,H3N2,USA
BAL70265,A/duck/Chiba/11/2007,2007--,Avian,H11N9,Japan
AFD64802,A/Ontario/014/2011,2011-01-11,Human,H3N2,Canada
AFH00208,A/Netherlands/165/1993,1993-03-05,Human,H3N2,Netherlands
AFJ13003,A/Peking duck/Heinersdorf/648-4/1986,1986--,Avian,H2N3,Germany
AFJ19053,A/duck/Guangdong/E1/2012,2012-01-10,Avian,H10N8,China
AFJ69899,A/duck/Vietnam/ST0970/2009,2009-02-18,Avian,H5N1,Viet Nam
AFM46644,A/swine/Oklahoma/A01202415/2011,2011-07-06,Swine,H1N2,USA
AFM46677,A/swine/Virginia/A01202625/2011,2011-09-29,Swine,H1N1,USA
AFU09969,A/swine/Nebraska/A01301488/2012,2012-08-24,Swine,H1N1,USA
AGA19225,A/swine/Langefoerden/IDT14189/2011,2011-11-09,Swine,H1N2,Germany
AGB08485,A/swine/Illinois/A01277699/2012,2012-11-20,Swine,H1N2,USA
AGI55457,A/Michigan/31/2009,2009-01-15,Human,H1N1,USA
BAN15768,A/Eurasian Woodcock/Vietnam/8/2007,2007-11-,Avian,H5N2,Viet Nam
AGK42522,A/mallard/Minnesota/Sg-00949/2008,2008-09-03,Avian,H3N2,USA
AGK42874,A/mallard/Minnesota/AI09-2518/2009,2009-09-06,Avian,H2N3,USA
AGK73701,A/New Jersey/02/2011,2011-01-11,Human,H3N2,USA
AGL58556,A/mallard/Minnesota/AI06-1027/2006,2006--,Avian,"mixed,H10",USA
AGO17906,A/chicken/Faisalabad/NARC-805/2004,2004--,Avian,H9N2,Pakistan
AGQ81092,A/silkie chicken/Hong Kong/NT382/2007,2007--,Avian,H9N2,Hong Kong
AGR45141,A/swine/Italy/274551/2011,2011--,Swine,H1N2,Italy
AGT41716,A/swine/Nebraska/A01397576/2013,2013-07-01,Swine,H3N2,USA
AGY80035,A/mallard/California/2999/2012,2012-07-25,Avian,H2N3,USA
AGZ60814,A/Michigan/02/2013,2013-01-03,Human,H3N2,USA
AGZ62319,A/swine/North Carolina/A01290462/2013,2013-09-,Swine,H1N2,USA
AHA57177,A/swine/Iowa/A01365339/2013,2013-10-09,Swine,H1N1,USA
AHB21195,A/swine/Texas/01822/2007,2007-10-25,Swine,H3N1,USA
AHB51365,A/swine/North Carolina/SG1232/2005,2005-01-27,Swine,H1N2,USA
AHB72790,A/swine/Minnesota/A01394248/2013,2013-10-22,Swine,H1N1,USA
AHI43250,A/swine/France/29-120258/2012,2012-08-24,Swine,H1N2,France
AHJ58189,A/whale/Maine/328B/1984,1984-10-,Whale,H13N2,USA
AHL21370,A/chicken/Shandong/LC2/2013,2013-05-05,Avian,H9N2,China
AHL82814,A/long-tailed duck/Wisconsin/11OS4248/2011,2011-10-24,Avian,H3N8,USA
AHL96736,A/Boston/YGA_01064/2012,2012-12-27,Human,H3N2,USA
AHM24057,A/duck/Zhejiang/W24/2013,2013-11-14,Avian,H5N8,China
AHM98264,A/mallard/California/1500P/2013,2013-07-30,Avian,H5N6,USA
AHN03821,A/mallard/Wisconsin/426/1979,1979--,Avian,H8N4,USA
AHN03965,A/duck/Minnesota/83/1974,1974--,Avian,H11N9,USA
AHN96424,A/Czech Republic/202/2013,2013-02-06,Human,H1N1,Czech Republic
AHN96710,A/blue-winged teal/Iowa/13OS2345/2013,2013-09-21,Avian,H3N8,USA
AHX37629,A/Perth/16/2009,2009-04-07,Human,H3N2,Australia
AIB06050,A/swine/Iowa/A01410694/2014,2014-04-,Swine,H1N2,USA
AIE09971,A/New Jersey/14/2013,2013-12-05,Human,H3N2,USA
AIF72909,A/Mumbai/3196/2009,2009-09-13,Human,H3N2,India
AIM39848,A/Pennsylvania/07/2013,2013-10-02,Human,H1N1,USA
AIN25997,A/swine/Indiana/A01260587/2014,2014-06-27,Swine,H1N2,USA
AIO11664,A/chicken/DaLi/302/2014,2014-01-01,Avian,H5N1,China
AIR94021,A/chicken/Coahuila/1433-15/2006,2006--,Avian,H5N2,Mexico
AIT92737,A/swine/Japan/KU-MD4/2013,2013-05-,Swine,H3N2,Japan
AIU46136,A/swine/Illinois/A01477429/2014,2014-08-28,Swine,H1N2,USA
AIU46398,A/Alaska/08/2014,2014-05-13,Human,H3,USA
AIZ07315,A/swine/Iowa/A01476715/2014,2014-10-15,Swine,H1N2,USA
AIZ07413,A/Jiangsugaoyou/SWL1141/2013,2013-03-21,Human,H1N1,China
AIZ70223,A/swine/North Carolina/A01477737/2014,2014-10-17,Swine,H1N1,USA
AJA03930,A/chicken/Yunnan/V365/2012,2012-04-18,Avian,H9,China
AJD14223,A/duck/Jiangxi/302/2006,2006-01-11,Avian,H10N3,China
AJE30379,A/swine/Minnesota/A01567011/2014,2014-05-27,Swine,H1N2,USA
AJE62474,A/Uttrakhand/033/2010,2010-09-24,Human,H1N1,India
AJE62909,A/Thailand/CU-A411/2013,2013-10-17,Human,H3N2,Thailand
AJM70824,A/swine/Illinois/A01462285/2014,2014-12-11,Swine,H1N1,USA
AJM71095,A/British Columbia/100/2014,2014-12-31,Human,H3N2,Canada
AJW32120,A/swine/France/29-140290/2014,2014-04-25,Swine,H1N1,France
AKC44915,A/swine/Missouri/A01840947/2015,2015-03-03,Swine,H1N1,USA
AKH03214,A/swine/Indiana/A01841426/2015,2015-03-17,Swine,H1N1,USA
ALA08684,A/Washington/4218/2014,2014-12-17,Human,H3N2,USA
BAT21772,A/Gifu/75-115/2013,2013-01-07,Human,H3N2,Japan
ALT19972,A/swine/Iowa/A01795793/2015,2015-11-05,Swine,H3N2,USA
AMQ29936,A/mallard/Maryland/11OS1749/2011,2011-08-11,Avian,H5N2,USA
ANJ78181,A/yellow-billed teal/Chile/12/2014,2014-04-26,Avian,H7N3,Chile
ANK57520,A/swine/Ontario/G14/2014,2014-08-12,Swine,H3N2,Canada
ARD27271,A/swine/Iowa/A01932015/2017,2017-02-16,Swine,H1N2,USA
ARG44519,A/swine/Ohio/A01932030/2017,2017-02-17,Swine,H1N1,USA
ASB31500,A/swine/Minnesota/A01678489/2017,2017-05-05,Swine,H3N2,USA
AAG10656,A/African starling/England-Q/983/1979,1979--,Avian,H7N1,United Kingdom
AAG10659,A/turkey/Israel/Ramon/79,1979--,Avian,H7N2,Israel
ATL63269,A/duck/Jiangshu/YZ916/2016,2016-09-09,Avian,H3N2,China
ATV84676,A/South Australia/40/2014,2014-06-20,Human,H3N2,Australia
ATV85828,A/Brisbane/71/2015,2015-03-31,Human,H3N2,Australia
ATV88639,A/Sydney/1014/2016,2016-07-11,Human,H3N2,Australia
ATY52102,A/Nicaragua/8156_07/2016,2016-11-06,Human,H3N2,Nicaragua
AUO37970,A/swine/Minnesota/A02136839/2017,2017-11-21,Swine,H3N2,USA
AVR42799,A/Rhode Island/20/2017,2017--,Human,H3N2,USA
AXR85965,A/swine/Iowa/A02254608/2018,2018-07-21,Swine,H3N2,USA
AZB45240,A/canine/Beijing/20131112-279/2013,2013-11-12,Canine,H3N2,China
QAX25668,A/swine/Manitoba/D0520/2017,2017-11-29,Swine,H3N2,Canada
QCW07161,A/swine/North Carolina/A02245129/2019,2019-05-12,Swine,H3N2,USA
QDE06696,A/District Of Columbia/26/2019,2019-04-07,Human,H3N2,USA
QDQ44348,A/Florida/55/2019,2019-04-18,Human,H3N2,USA
QJF48165,A/Anas platyrhynchos/Belgium/7827/2018,2018-01-09,Avian,H3N8,Belgium
QLW38886,A/Thailand/CU-B24415/2017,2017-09-11,Human,H3N2,Thailand
QTC20725,A/swine/Brazil/079-20-16/2020,2020-05-05,Swine,H3,Brazil
QTX13151,A/swine/Iowa/A02525306/2021,2021-03-26,Swine,H3N2,USA
QXU66276,A/swine/Nebraska/A02635902/2021,2021-06-22,Swine,H3N2,USA
UKH70659,A/Duck/Shandong/SD0220/2021,2021-03-12,Avian,H3,China
UKU10398,A/swine/Texas/A02246910/2022,2022-01-06,Swine,H3N?,USA
UWX43791,A/swine/Nebraska/A02750817/2022,2022-08-23,Swine,H3N2,USA
UYB25369,A/Kamphaeng Phet/FLU-KPPH-00914/2015,2015-09-15,Human,H3N2,Thailand
WBW09073,A/chicken/Shantou/5386/2021,2021-10-09,Avian,H3N8,China
WDJ87582,A/swine/Cambodia/PFC11/2021,2021-02-02,Swine,mixed,Cambodia
WEC45534,A/swine/Iowa/A02751463/2023,2023-01-12,Swine,H3N2,USA
WFH39863,A/swine/Ohio/OH20-3284/2020,2020-02-18,Swine,H3N1,USA
WIF23776,A/swine/Iowa/A02861433/2023,2023-04-25,Swine,H3N2,USA
AAK63819,A/Hong Kong/1144/1999,1999--,Human,H3N2,Hong Kong
AAL65252,A/Chicken/Tianjing/1/96,1996--,Avian,H9N2,China
CAD20322,A/aquatic bird/Hong Kong/399/99,1999--,Avian,H3N8,Hong Kong
AAO46081,A/quail/Hong Kong/A28945/88,1988--,Avian,H9N2,Hong Kong
AAO86952,A/avian/NY/73063-6/00,2000--,Avian,H7N2,USA
AAP60037,A/Memphis/14/96-M1,1996--,Human,H1N1,USA
AAW19646,A/tree sparrow/Henan/4/2004,2004--,Avian,H5N1,China
AAX76623,A/New York/10/2004,2004-01-30,Human,H3N2,USA
AAY52516,A/chicken/Shanghai/10/01,2001--,Avian,H9N2,China
ABB19886,A/mallard/Alberta/30/2001,2001-07-27,Avian,H4N8,Canada
ABB86899,A/swine/Ontario/55383/04,2004--,Swine,H1N2,Canada
ABB87656,A/blue-winged teal/ALB/136/1990,1990-08-22,Avian,H4N3,Canada
ABD35526,A/chicken/Taiwan/na3/98,1998--,Avian,H6N1,Taiwan
ABG67135,A/New York/556/1996,1996-11-19,Human,H3N2,USA
ABG88729,A/New York/754/1993,1993-01-16,Human,H3N2,USA
ABI98911,A/chicken/Jilin/ha/2003,2003--,Avian,H5N1,China
ABL67827,A/open-billed stork/Nakhonsawan/BBA3011M/2005,2005--,Avian,H5N1,Thailand
ABO38241,A/Memphis/3/1986,1986--,Human,H3N2,USA
ABO52731,A/turkey/Italy/1980,1980--,Avian,H5N2,Italy
CAI96162,A/duck/France/05066b/2005,2005--,Avian,H5N1,France
ABR31773,A/chicken/Taiwan/2838N/00,2000--,Avian,H6N1,Taiwan
ABU92738,A/Denmark/59/2006,2006--,Human,H3N2,Denmark
ABV31891,A/bird/Guangxi/63/2005,2005--,Avian,H9N2,China
ABV82595,A/swine/Wisconsin/2/1966,1966--,Swine,H1N1,USA
ABY40410,A/swine/Saraburi/NIAH13021/2005,2005--,Swine,H1N2,Thailand
ACA50030,A/chicken/Iran/TH78/1999,1999--,Avian,H9N2,Iran
ACA96510,A/Hong Kong/CUHK-22910/2004,2004--,Human,H3N2,Hong Kong
ACB32204,A/Guangzhou/657/2006,2006--,Human,H1N1,China
ACB36678,A/giant anteater/Tennessee/UTCVM07-733/2007,2007--,Giant anteater,H1N1,USA
ACD56591,A/chicken/Yunnan/honghe10/2007,2007--,Avian,H9N2,China
ACD64996,A/chicken/Egypt/1709-1VIR08/2007,2007-02-25,Avian,H5N1,Egypt
ACD85612,A/Minnesota/04/2008,2008-01-21,Human,H3N2,USA
ACD88692,A/chicken/PA/35154/1991,1991--,Avian,H1N1,USA
